%Tempo    %MV
0,00    0,00
5,00    20,00
10,00    20,00
15,00    20,00
20,00    20,00
25,00    20,00
30,00    20,00
35,00    20,00
40,00    20,00
45,00    20,00
50,00    20,00
55,00    20,00
60,00    20,00
65,00    20,00
70,00    20,00
75,00    20,00
80,00    20,00
85,00    20,00
90,00    20,00
95,00    20,00
100,00    20,00
105,00    20,00
110,00    20,00
115,00    20,00
120,00    20,00
125,00    20,00
130,00    20,00
135,00    20,00
140,00    20,00
145,00    20,00
150,00    20,00
155,00    20,00
160,00    20,00
165,00    20,00
170,00    20,00
175,00    20,00
180,00    20,00
185,00    20,00
190,00    20,00
195,00    20,00
200,00    20,00
205,00    20,00
210,00    20,00
215,00    20,00
220,00    20,00
225,00    20,00
230,00    20,00
235,00    20,00
240,00    20,00
245,00    20,00
250,00    20,00
255,00    20,00
260,00    20,00
265,00    20,00
270,00    20,00
275,00    20,00
280,00    20,00
285,00    20,00
290,00    20,00
295,00    20,00
300,00    20,00
305,00    20,00
310,00    20,00
315,00    20,00
320,00    20,00
325,00    20,00
330,00    20,00
335,00    20,00
340,00    20,00
345,00    20,00
350,00    20,00
355,00    20,00
360,00    20,00
365,00    20,00
370,00    20,00
375,00    20,00
380,00    20,00
385,00    20,00
390,00    20,00
395,00    20,00
400,00    20,00
405,00    20,00
410,00    20,00
415,00    20,00
420,00    20,00
425,00    20,00
430,00    20,00
435,00    20,00
440,00    20,00
445,00    20,00
450,00    20,00
455,00    20,00
460,00    20,00
465,00    20,00
470,00    20,00
475,00    20,00
480,00    20,00
485,00    20,00
490,00    20,00
495,00    20,00
500,00    20,00
505,00    20,00
510,00    20,00
515,00    20,00
520,00    20,00
525,00    20,00
530,00    20,00
